"id","name","cnab_structure_id/id"
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos","Pagamento","l10n_br_cnab_structure_payment_bb.cnab_bb_240"
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_boleto","Boleto","l10n_br_cnab_structure_payment_bb.cnab_bb_240"
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_tributo_com_bc","Contas de Concessionárias e Tributos","l10n_br_cnab_structure_payment_bb.cnab_bb_240"
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_tributo_sem_bc","Tributos sem código de barras e FGTS-GRF/GRRF/GRDE com código de barras","l10n_br_cnab_structure_payment_bb.cnab_bb_240"
